0000000,_1000000,0000000
_0784316,0757323,0000000
0992122,0754255,_0706341
1635993,_0342047,0837188
_1331829,_1548019,0997875
_0518435,1575366,_0971583
0569918,1104080,_0495521
1100488,0534607,0539563
0450867,_0924228,0891429
_1752563,0336072,0435746
0365927,0223621,_0983526
1451602,_1091572,0357815
_0931860,0073127,0992905
_0751181,_0414908,_0802731
_0040040,_0064265,_0682503
0538945,_0961808,_0040030
_0795495,0350351,0513231
0223178,_0164628,_0714210
0350458,_1065600,0221330
_0903854,0625548,0343328
0667935,0503594,_0785717
1657110,_0760785,0619366
_1459790,_0606250,0996277
_1783806,0715301,_0993845
1715044,1083197,_0977399
1379237,_0024788,0989614
_0876112,_1779335,0981709
_0165479,0918085,_0768256
1650654,0720590,_0164724
1124006,_0699339,0996813
_1882625,_0539076,0901839
_1556865,0682473,_0951774
1745461,0935374,_0999903
1596847,_0260473,0984785
_1312525,_1667652,0999661
_0284994,1366463,_0966833
1040210,1168226,_0281152
0754503,0328720,0862511
_0145938,_1168576,0684927
_1183910,1049475,_0145421
0837874,1525985,_0926088
0593530,0325666,0743222
_0052657,_1079168,0559291
_1221726,0902430,_0052633
0945701,1295998,_0939691
1099360,0423252,0810907
0090324,_1171404,0890917
_1385081,0898102,0090202
0829675,1357686,_0982804
1021128,0474083,0737712
0205572,_1022702,0852698
_1601137,0658954,0204127
0837887,0893235,_0999540
1844308,0046349,0743231
_0417870,_1925268,0962828
_0026184,0302269,_0405814
1032311,_0725138,_0026181
_0974925,_0431647,0858486
_1607272,0093609,_0827660
0845887,_0109453,_0999335
0691229,_1487377,0748559
_0526748,0455993,0637485
0231650,_0110661,_0502725
0254883,_1114066,0229584
_0830271,0742201,0252132
0759562,0744514,_0738114
1694401,_0237779,0688604
_1021572,_1729488,0992371
_0229453,1104233,_0852930
1468286,1045395,_0227445
0900891,0008651,0994750
_0901662,_1552461,0783881
_0396059,1360604,_0784359
0866714,1241076,_0385785
0713057,0458067,0762206
0128611,_0888951,0654149
_1566053,0472324,0128257
0771120,0440483,_0999989
1779719,_0960299,0696939
_1338937,_0224629,0978255
_1302753,_0090159,_0973241
0623903,_0226939,_0964291
0443066,_1246272,0584207
_0916482,0709577,0428712
0603976,0713972,_0793465
1766450,_0219158,0567920
_0883247,_1773538,0980921
_0172326,0934985,_0772804
1636722,0756927,_0171474
1122964,_0608921,0997828
_1862430,_0757807,0901388
_1619442,1203201,_0957775
1166529,1845105,_0998817
0038957,_0460853,0919391
_1777749,_0461115,0038947
_0886899,0479789,_0978662
1787812,0151144,_0775116
0889265,_1850938,0976544
_0062118,_0333403,0776609
_1455643,_0649010,_0062078
_0942853,0817479,_0993377
1879147,0979014,_0809237
1371721,_0216545,0952836
_1258096,_1642809,0980250
_0327596,1389274,_0951506
0971695,1183999,_0321768
0764215,0374791,0825843
_0037322,_1089720,0691970
_1336572,0904903,_0037313
0929057,1351159,_0972695
1010846,0422127,0801056
0084261,_1129224,0847281
_1421337,0867260,0084161
0862726,1309195,_0988852
1129064,0467370,0759618
0194043,_1091253,0904012
_1542930,0756611,0192827
0840398,1107617,_0999612
1548585,0380917,0744909
0167653,_1446340,0999753
_0899104,0822474,0166869
0808805,0966598,_0782770
1564399,0200044,0723463
_0132602,_1734618,0999980
_0321153,0563109,_0132214
1083462,0006176,_0315661
0295852,_1647350,0883584
_0355060,0460203,0291555
0569576,_0208471,_0347647
_0112915,_1236231,0539275
_0902524,1063884,_0112675
0792125,1402752,_0784893
0739230,0472111,0711847
0194958,_0873237,0673719
_1598056,0397301,0193725
0627284,0292709,_0999628
1573174,_1154055,0586948
_0985922,0090225,0999997
_0710739,_0378185,_0833782
0045759,_0160902,_0652394
0299600,_0954271,0045743
_0889004,0486722,0295138
0612912,0167832,_0776445
1116785,_1305920,0575252
_0724836,0335678,0898695
_0172354,_0231455,_0663012
0165649,_0734162,_0171502
_0826216,0104142,0164893
0076572,_0456554,_0735372
_0118535,_0494926,0076497
_0971488,_0282897,_0118258
_0484033,_0182544,_0825726
0410307,_0593764,_0465352
_0513027,_0391150,0398891
_1157521,_0253959,_0490817
_0107414,_0132164,_0915810
0623092,_0879108,_0107207
_0818298,0141757,0583549
_0235569,_0434089,_0729984
_0099975,_0340849,_0233397
_0458274,_0611219,_0099808
_0881858,0208063,_0442401
0860345,_0332557,_0771921
0041779,_1221392,0758068
_1152584,0957815,0041767
0802610,1367559,_0913816
0938113,0485209,0719172
0223726,_0954478,0806444
_1646105,0535692,0221864
0763454,0611356,_0997166
1923709,_0561225,0691421
_1419265,_1154659,0938370
_1296056,1741284,_0988541
0150848,1208994,_0962496
1380472,0881424,0150276
0795088,_0241123,0981943
_1439347,_1327305,0713925
_0749130,1801435,_0991373
0161035,0796596,_0681002
1656649,0252403,0160340
0414390,_1698186,0996317
_0365576,0286756,0402632
0201398,_0531494,_0357487
_0572425,_0406184,0200039
_0983423,_0187622,_0541672
0085948,_0301282,_0832399
0207034,_0799600,0085842
_1061333,0229528,0205558
0307268,_0212012,_0873006
0408141,_1068598,0302456
_0977934,0592989,0396904
0608415,0464238,_0829345
1663475,_0813621,0571567
_1399963,_0487335,0995708
_1708057,0412474,_0985443
1529369,0357448,_0990595
1501832,_1484160,0999142
_0616033,0065489,0997623
_0816655,_0597557,_0577802
_0430606,0387793,_0728860
1479863,_0311646,_0417421
_0307031,_1546980,0995868
_0669181,1013538,_0302230
1054950,1199773,_0620344
0996259,0341309,0869876
_0099069,_1278580,0839444
_1112704,1063751,_0098907
0775845,1510845,_0896898
0607123,0379734,0700320
0075089,_0988094,0570507
_1370789,0689327,0075018
0937285,0881788,_0980065
1820873,_0030968,0805954
_0640588,_1923129,0968893
_0013100,0443630,_0597667
1435724,_0464559,_0013100
_0852032,_1231216,0990892
_1299454,1514751,_0752620
0389346,1605829,_0963412
0510063,0474060,0379584
0502790,_0732193,0488232
_1474465,_0114101,0481872
_0641034,_0143534,_0995364
0641784,_0535069,_0598024
_0356118,_0672455,0598626
_1589542,0292642,_0348638
0879893,0101312,_0999824
1154108,_1511104,0770671
_0436813,0180846,0914434
_0504244,_0624854,_0423054
_0572245,0269544,_0483146
1036350,_0429611,_0541521
_0331889,_1126631,0860551
_1431158,1133602,_0325830
0832613,1727840,_0990266
0261524,_0023727,0739692
_0788143,_1167511,0258553
_0746242,1444162,_0709045
0579658,1399408,_0678884
0664823,0598728,0547738
0448239,_0534438,0616920
_1536496,_0556016,0433379
_1289730,0622865,_0999412
1834245,0686322,_0960760
1676537,_0832393,0965498
_1682447,_0449818,0994415
_1590888,0428510,_0993774
1589287,0354274,_0999798
1488142,_1510624,0999829
_0562173,0039847,0996586
_0878471,_0637981,_0533026
_0494527,0519978,_0769764
1671115,0013497,_0474615
0387491,_1884337,0994972
_0099555,_0116160,0377867
_0634793,_0895761,_0099390
_0810861,0970510,_0593011
1380883,1211616,_0724881
1015467,0198770,0982021
_0459201,_1498759,0849727
_0619255,1171463,_0443232
0922334,1348554,_0580428
0655912,0426604,0797013
0051134,_0922651,0609882
_1489255,0588731,0051112
0927421,0684041,_0996677
1917727,_0475674,0800076
_1418154,_1350989,0940421
_0886041,1786723,_0988373
0159223,0906834,_0774574
1668584,0488104,0158551
0768711,_1259391,0995223
_1256441,0517570,0695210
0320355,0420871,_0950996
1751165,_0727779,0314904
_1228001,_0711484,0983778
_1849520,0873554,_0941819
1585780,1457169,_0961407
0624263,0063634,0999888
_0822021,_1382796,0584500
_0592480,1485452,_0732523
0524126,1268110,_0558420
0840799,0664066,0500456
0528431,_0476847,0745176
_1602326,_0737263,0504179
_1385914,1082132,_0999503
1484800,1655612,_0982958
0252242,_0186157,0996305
_1395461,_1062641,0249575
_0895823,1635277,_0984668
0414395,1223236,_0780724
1159201,0719620,0402637
0645509,_0507237,0916484
_1788449,_0739177,0601605
_1428696,1141296,_0976407
1350150,1733775,_0989921
0151916,_0290380,0975756
_1579221,_0859792,0151332
_1055359,1351066,_0999965
1013705,1623440,_0870077
0313764,0082033,0848797
_0658361,_1182733,0308641
_0768984,1379414,_0611821
0630360,1457236,_0695405
0547707,0522894,0589436
0348086,_0644214,0520731
_1506759,_0229686,0341099
_0764071,_0018084,_0997950
0904073,_0522555,_0691867
_0280713,_0850869,0785852
_1724496,0658080,_0277041
1199628,0928836,_0988212
1732468,_0069447,0931904
_0839990,_1888538,0986960
_0037236,0642198,_0744636
1735805,0013946,_0037228
0058564,_1903100,0986417
_0085416,0049685,0058531
0052574,_0937229,_0085312
_0778226,0615138,0052550
0931820,0408611,_0702017
1439152,_1115567,0802707
_1253226,0103781,0991347
_0620473,_0240920,_0949997
0402540,_0441009,_0581420
_0262118,_0737350,0391757
_1386003,0388724,_0259127
0979260,0197820,_0982974
1325866,_1481070,0830085
_0523697,0138176,0970154
_0641063,_0610290,_0500085
_0498110,0317059,_0598048
1236377,_0399451,_0477766
_0368242,_1284641,0944601
_1193725,1236880,_0359976
0676115,1691144,_0929747
0288278,0141577,0625767
_0309123,_1127689,0284302
_0859218,1120131,_0304223
0874857,1443129,_0757332
0613482,0395547,0767452
0033661,_0960832,0575718
_1411315,0669956,0033655
0969899,0851162,_0987310
1846828,_0112242,0824829
_0826905,_1895232,0962145
_0009069,0618751,_0735839
1718808,_0061285,_0009069
_0130144,_1887820,0989066
_0102225,0209155,_0129777
0581207,_0807201,_0102047
_0873091,0011976,0549033
_0483970,_0462043,_0766319
_0110066,_0123774,_0465297
0191060,_0883626,_0109844
_0808234,0421152,0189899
0631001,_0018949,_0723068
0654182,_1397688,0589954
_0577538,0555197,0608511
0357118,0146787,_0545963
0862448,_1167104,0349575
_0828994,0422001,0759438
0098966,_0005558,_0737252
0724136,_1064193,0098805
_0781380,0396082,0662488
0149877,_0085147,_0704260
0513222,_1075937,0149316
_0813677,0536845,0490987
0471714,0241448,_0726818
1226776,_1134595,0454414
_0957367,0211430,0941406
_0406659,_0287999,_0817679
0203917,_0503686,_0395543
_0509643,_0472086,0202507
_1068780,_0085829,_0487866
0246172,_0338169,_0876614
0184602,_0840270,0243693
_1194828,0334127,0183555
0520643,0012786,_0930153
0935577,_1331513,0497438
_0616060,0424257,0804942
0036748,_0124186,_0577824
0303148,_0978695,0036740
_0849445,0526741,0298526
0645735,0237776,_0750914
1229943,_1245181,0601786
_0864707,0276320,0942470
_0297881,_0249985,_0760905
0223514,_0628683,_0293495
_0694678,_0187856,0221657
_0620329,_0461253,_0640138
_0241446,_0042545,_0581303
0483017,_0838364,_0239107
_0719234,0140871,0464453
_0132076,_0491322,_0658809
_0233715,_0282282,_0131693
_0459982,_0622490,_0231593
_0757401,0236441,_0443932
0925809,_0366772,_0687035
_0098907,_1194542,0799107
_1247538,1035854,_0098745
0816892,1536183,_0948206
0595306,0323820,0729022
_0041864,_1083420,0560762
_1216086,0900498,_0041852
0938301,1289603,_0937747
1112646,0427187,0806555
0101418,_1169690,0896872
_1394189,0889685,0101245
0828642,1344486,_0984445
1052188,0479184,0737014
0215957,_1027123,0868510
_1609969,0658778,0214282
0830526,0895695,_0999233
1842820,0055372,0738286
_0394657,_1922213,0963229
_0030934,0295122,_0384491
0998422,_0733578,_0030929
_0969257,_0394151,0840617
